overture_id	name	category	decision
287515e3-61cb-416a-a942-032b0f96d415	A Loja do Gato Preto	furniture_store	promoted:store/home (brand: store/home)
ecfffe6f-c82d-4123-8733-0d89ba02ca12	AM Rebouças Tintas CIN		promoted:store/hardware (brand: store/hardware)
eb51ffdc-4ea9-4a5e-aa11-54be825aa404	Armazem Conforama Palmela CDC		promoted:store/furniture+home (brand: store/furniture+home)
d564eb8c-9c77-4ed4-b82c-756618a0157e	Armazens Primor	clothing_store	promoted:store/beauty (brand: store/beauty)
80e78444-b464-4f08-8d69-b364761d482d	Boutique Rolex | Torres Joalheiros	jewelry_store	promoted:store/jewelry (brand: store/jewelry)
3c37ba24-6fc9-4aa3-a054-f4690babdd54	Ciclobaía :: Bicicletas Trek e Cannondale	bicycle_shop	promoted:store/bicycle (brand: store/bicycle)
f3a8275b-1fbd-4aac-8424-562fc8fa1be5	iTec Consulting (Chip7 Lamego)	computer_store	promoted:store/electronics (brand: store/electronics)
37444a8f-9e14-4c6c-b570-f48a309dab87	Loja Gato Preto	furniture_store	promoted:store/home (brand: store/home)
c11b385a-23eb-4ec2-9193-da811d930aa2	Loja havaianas Portimão	fashion_accessories_store	promoted:store/shoes (brand: store/shoes)
4debd7e9-5254-4310-9b0c-5d749da172dd	Loja Meo Continente de Viseu- Marisa Coelho		promoted:store/phone (brand: store/phone)
6820611e-0f5c-4d7c-9f6c-6c4a59ee61b7	Loja MEO TMN Estarreja	electronics	promoted:store/phone (brand: store/phone)
5c9e5943-6d6d-4a42-8fa4-3b060e340405	Loja MEO TMN Evora Praca Horta Porta	electronics	promoted:store/phone (brand: store/phone)
dc4345e1-7716-4bde-be09-4e62df7049a0	Loja MEO TMN Póvoa do Varzim - Gomes Amorim I na Póvoa de Varzim	mobile_phone_store	promoted:store/phone_repair/phone (brand: store/phone)
80ac66a4-96cc-4b56-ac3d-74dd673a6aca	Loja MEO TMN Viana do Castelo - Combatentes da Grande Guerra	mobile_phone_store	promoted:store/phone_repair/phone (brand: store/phone)
7b8eb511-175a-4db6-9953-5d41174341d9	Loja Mr. Blue Glicínias	clothing_store	promoted:store/clothing (brand: store/clothing)
c5a12cdd-8ec1-410e-aa7f-50d315673cae	Loja Vodafone Braga	shopping	promoted:store/phone (brand: store/phone)
