overture_id	name
40d6c8e8-2984-41cc-b45b-d62385b448c3	Casa Claudia
427e9ff8-e948-47b3-b514-cbf73bd4de92	Casa de Oxum
42e5d5dd-8d81-4a60-a972-26b6079826bb	Casa do FC Porto de Albergaria-a-Velha
4411eccc-e6d5-4f61-83b5-981e9845acae	Casa da Bouça Honey Wax •cera de mel
4592109a-91d6-4c90-b168-9a236665a570	Casa e Conforto
45f0351a-9a88-4d8d-9261-f19b3fc20c80	Art’Casa
45f94696-312d-478b-b235-bf7dae9c7398	Casa Caçador
466105e0-390d-4d0f-93de-a720907f206f	Espaço Casa
4716e7fd-ff08-497c-bfc4-7493550f14d3	Casa Nogueira
47cf8840-af2c-4834-affa-640553e8584b	Domus Utile - A Casa do Advogado
47fb847e-2384-4acd-b57a-6e8bdf9075a9	Casa Aragão Portugal
4831b092-988e-4a1f-95ad-756c44d865f7	Casa Santa Rita
48a240a9-e289-4ce8-9201-536454e40fe6	Casa do Futebol Clube do Porto de Tabuaço
491a7637-f311-4e75-8b8b-cfe3ec38183b	Casa do Cavacas - Ilha da Madeira
4a2aec73-ba46-4288-8dc2-a8b410e1a970	Casa da Sorte - Organização Nogueira da Silva, S.A.
4b54cb69-4896-411e-8ee3-95181908136f	Casa Onze
4bc98881-50bb-4ecf-b2c5-3a69686c4788	Casa de Pasto Solar Desportivo
4c8914b1-32b2-40e7-aec0-540a16b25984	Casa Stick
4d225721-2215-4f6b-92c5-5eb7ee84b4a2	Casa do Campo - Rações e Afins
4d472d91-53f9-40a7-9683-075eb5b57fda	Casa do Povo de Casegas
4d67566c-0ae7-433e-a9e8-6daffefe3876	Hiper Casa Decor
4fd60f48-79f7-4725-bbd0-e17e48459ceb	A casa do artesanato
500c03f6-76a2-4b1b-ad9f-f7dbb1447cba	Casa Moreira
50d7eb72-a6ec-480e-a60f-705790d25a74	Galeria da Casa A. Molder
52a19ae2-58ac-43d9-a0da-06097ec650f2	Casa Rios
52abf3ec-363b-46ac-a94d-f94be8b5edea	CASA CAMPOS - Bricolage, Construção e jardim
533b6e92-851d-49e7-9fb2-d39a4f55e02d	Casa Robalo
53943ac6-d527-4e1a-a662-8fb35cf46431	Casa do Fragão
53bfae14-587a-4b33-8973-0d1aaca83912	Casa do telemóvel ️
54509084-7b1b-421c-a722-bbe27aa938be	A Casa dos Avós - Odeceixe
545159eb-624e-403d-b095-c6582a6598e0	Casa do Coraçao
5511d9f6-5ed8-4570-be71-3b75671db98a	Casa do Chef
5528a236-395c-44c9-960c-0b86a360fd56	Casa Faria  Artigos Religiosos
55dd2657-dfe9-40d8-919a-244e38afb15d	Casa Czar
562551a0-6efd-4ce6-9858-58b07816b9f2	Casa On
58525a9e-7236-4c4d-b0e4-28dc79013a55	Casa Lubra -Texteis Lar
588e4b1f-6a0d-4c70-aa56-1babb76ce1be	Casa das francesinhas
58acb252-3b08-469b-a05e-35262c1c81ce	Casa Mãe
5a01e2ab-4884-48a6-bb53-565db6776a6d	Casa do Benfica
5a2e5f9b-603b-4ecb-8e90-8c386d9dc44c	Antiga Casa de Pasto Orlando
5bda12df-8a54-4150-9967-50a872d63fbf	Casa de Cotas
5e07d81d-0ef9-44c0-91cd-b851b0ddbdcb	Casa do Povo da Sobreira
5ec43f02-0eb5-4a7c-b228-e0f1512432e9	Casa Gomes - Chaves e Reparação de Calçado
5efb0047-1e72-4f5b-af40-9a06fb87e697	Casa das Cestas- Sónia Pereira
5f02ab26-2d3b-4427-9d34-bbeb2353b296	Club Hípico Casa da Madrinha
5f69b45b-4255-4fdb-b113-c10708cc3306	SLUSerpense / Casa do Povo de Serpa - Ténis de Mesa
5f75341c-8a16-4bfb-8cd3-0fb7a4b0328a	Casa Moderna 360
5fb6e024-6165-443e-8ddf-0d1bcb4ea578	Casa do Boticário
60f55a62-fb70-4520-a678-0bc1e74836ec	Casa Martins Bricolage
626cb97d-59d1-4cba-9f07-4cc861d8acef	Casa Agricola do Limonete
64062fa1-a959-46c9-a986-77caa34d7ff4	What.casa
66dab924-08f0-445b-b9b0-64217d7ad1b2	Casa da Cultura
670b7a48-8875-4c84-b9b5-942e8cecdfbb	Casa FC Porto Seia
677022af-e611-44de-a240-646d0a11199f	Casa Pimentel
67dc85f3-3165-47d6-aeab-f62dc6a829aa	Casa Campeão
684060ba-41d7-46c6-9b5e-829f55080eb2	Casa Têxteis - Home Textiles
6854050a-78f9-4742-bad0-4a6c2bf86a28	Casa Astória
68d9f693-5934-4e63-bc5a-7d711a300cc7	Casa Agricola - Clara Ramos
692da875-db3d-47d5-8fa1-f7ae31a4da77	Casa das lãs
6a4e3de9-7eab-4b6d-bf4b-1d6fc475d66d	CASA&AROMA
6afb0219-e5d5-45b7-8444-aba373a937e5	Casa Sergio
6d4ebda1-1821-433a-ae8f-4dd5f4da2a03	Casa Miranda
6d82e19b-6786-4614-9775-b9cf3a04645d	Casa Orquídea
7145f00a-1c7e-4794-aaaf-241ba05e9a76	Casa Doce Algodão
71abf00a-edbb-4ae0-a858-036cced6890c	Casa da Quinta
71b35880-1854-434f-add2-a74744387950	Casa Guilherme
71c34474-17b4-44e2-95f5-d337e6bb100a	Casa Benfica Montijo
7242160b-cf03-4793-bcef-9438ce97dc6d	Casa das Pittas
7253aa1d-91c9-44cd-82f3-3a348c6641d5	Casa de Cura
7447587b-9f7c-400c-bf0c-e6da9f4fca70	Casa taciano
7544118f-6539-4041-b5c9-0e3049ae55f1	Domus Casa
75e4fc07-d43b-48b7-a0d6-6112fcdc61d2	Casa Rouxinol
76f06299-bdae-4a0a-adb9-d9a8a7ff44d8	Casa Bravinho
78fcdbd8-b0b3-40d0-b792-b1b6bc1d4785	Lapinha Café Jornais Revistas Jogos Santa Casa
79ebf703-611d-4a67-bdb4-41f561fffa91	Casa da Beira
7ad38f2c-0971-4ea2-9676-620469bef70b	Casa Benfica Beja
7d1f2073-171c-4d86-bcf8-ad8492d822a0	Casa dos Croissants
7da2926a-d62f-4bda-90a3-94b18263e487	Casa Hernani
7dddc7cf-9b97-4bd5-8467-8ce3fe2a89d3	Casa carneiro
7f1c362e-43bf-4797-9d29-7553f134768b	Casa FC Porto S. Miguel - Açores
802dfa31-6712-4fea-ad65-3fd00e78499f	Casa das Plantas
807bbfaf-0e90-49f0-9eac-aef32b012938	Casa Coelho
819dc9bf-6f67-4125-97fe-62f85c60e3b0	Loja Biolimentar | Artigos de cozinha e casa em 1ª e 2ª Mão
81e5b6c6-dffc-4009-aa62-74021cee071c	Conforto Casa - Têxteis Lar
82e191da-c197-406d-909f-3207dd3335a4	Casa Do Vizinho
83b30b89-8234-4762-af72-847cec577c44	Casa Rosário
83beb3cf-49af-4bd1-bb5f-b84e31103736	Casa Estêvão
842e74db-0ae2-429b-bf18-75d17487e912	Casa Do Artesanato Porto Santo
86c7d562-7e12-4d10-82bc-cebcc4f02d40	Casa dos Waffles
87a7c5b5-003c-47ec-aa12-07b31b1a91bd	Casa Portuguesa
87cdbc83-26e9-4665-bb76-26df0a82fb07	Cama Casa Montessoriana
886baef5-01b4-4b92-978c-ba1638180bf6	A Casa da Joaninha
890d0d94-17de-4825-a075-4dc74a6eecdc	Casa dos Terços
8a3a7f43-b736-4e70-a609-76ad140c9367	Casa Luzarte - Carlos Faria da Cunha
8a820390-ec92-4b06-bef6-15d8e15c1b76	Casa do Sapateiro
8b8d3b72-168f-43e3-ae46-1a8511ce3bc1	Casa Alentejo
8baf965f-1e81-43a7-a716-ef635071addc	Casa Patrícia
8bbcc83c-0def-4a88-bf0c-8f7b2a117d03	Loja - Casa Bigares
8d2702bd-3bb0-49c2-b5f7-bee07b0119a4	Casa Cardeal
906a91cb-a869-45eb-a8be-8a674846802a	Casa Arvora
90c634eb-a148-4e7a-8c12-f4856735ee47	Clínica da Casa do Povo de Velas - Beira
9181f480-b764-4639-852a-79fda56f2e2a	Casa Agricola Peseiro, Lda
9191e614-4a1e-45ae-a007-545413f7b2c5	Casa Da azinheira Loulé
934b0026-2277-4469-b4a2-99aed294764b	Casa Paladar
939d7082-c64a-451f-8762-e10aa0b4cece	Meu Super Forte da Casa
93b01129-3ffc-4649-b2d7-1747543a3b86	Casa Forte Póvoa de Lanhoso
940e1584-b5bc-4e12-b7c0-46f27191c627	Casa segura
9449f931-ab33-4708-a8d2-9fae255e1fea	Casa das Chaves do Casal de Cambra
96df4fcd-c648-4f9e-92e1-3487fee509fc	Casa Fashion
9ba62ca7-0c2d-455c-b012-44496337781c	Fernanda Sapataria - Casa/Campo
9bdadac6-78b5-4c07-ad50-d9f71e9c34a8	Casa Mãe Joana
9c626a95-a5d5-438c-824d-e6ca55d613e4	Casa das Conservas
9ce9f026-fec9-4d24-baed-5c98b0dac11d	Casa Rocha
9daa6a5c-f606-4803-8e1e-3aee53089fbf	Casa and Tendencias
9dc9d291-63ed-4c87-bc2b-d493dc3ff3e2	Casa Das Lãs A Covinha
9dd218cb-2e1b-44e8-b9b4-905e018d92e5	Agência Imobiliária Odivelas | Comprar Vender Casa |Home Staging
9e188e36-2309-4d57-8a7a-a8f294bbbf38	Casa Portuguesa
a078db35-1369-4747-a35d-9fff1e432234	Casa Bastao
a19456dc-f491-4936-b83c-7e92117301c4	Casa das Rações
a1f0e047-c42e-4d12-9c5c-3c9f2398d5f6	Futsal Casa do Benfica Portalegre
a3ad8a17-ec0b-474f-92ac-0f7838e47ce3	Casa Fonte Nova
a4a17283-fffc-45dd-837f-df83ebcb0e29	Casa Teixeira
a4bf797f-1539-4558-ae99-e762ab3844d9	Casa de Laraias
a503fc09-cc47-4f0b-9965-3d46fc2e7d12	Casa de Oksana
a5d96d80-5b85-4463-9ad3-9a1ba137f4b5	Casa Fonseca
a693e34e-6387-409d-8f59-9267171e8f6a	Casa & Charme
a720e11e-2895-41f2-9fd8-ad74e8eff0f5	Casa Dos Amigos - Alojamento Local
a77223f1-5c06-4b16-87fb-81cd6e495e63	Casa Benjamim
a7b32b11-ab2e-4178-bff8-15953a1990f9	Casa Das Solas Do Cacém
a8098089-0aeb-4c27-a6de-04c98b98c707	Casa do Povo Corroios - Trampolins
a826950b-5d49-4055-855f-7402a9475af8	Casa Peixoto
aa2ac790-e338-41c7-a179-b426863f695e	Casa Do F.C.Porto de Amarante
aa9eb0f7-64de-4789-9352-c73b2501bf0a	Casa Costa
ab4f4c48-8709-4097-8acb-19e1e66a577e	Casa Amoeda
ab518a00-db88-4d63-b502-decb68612cc1	Espaço Casa
ae67699b-82d3-41a9-9267-383c398b2379	A Casa da Tia Zé
af5b8408-489c-4e99-bbd3-6de1f104678f	Casa Benfica Charneca Caparica
afbb8f8b-2eee-456d-8bb8-bbfcffe0daf9	Casa Ramos
b08dc525-33a5-47a6-a2a9-da939eeb22f0	Casa Brasileiro Montalegre
b112d351-4c90-4a3a-a354-126cb1bb2426	Casa dos Toros - Chalet
b14ae398-0192-46ed-a5eb-50a0cfacd20c	Jogos Santa casa Placard raspadinhas euromilhoes redondos
b294962f-a1df-4323-956d-b7d4f0a2f46d	Casa Portuguesa do Pastel de Bacalhau
b30bf726-2189-40d8-9ca9-ce795c9ef3c4	Casa Oliveira - Fumeiro Regional de Lamego
b32c10f2-2a2e-4095-bdb7-37e5391fbd14	Casa Ferreira
b37c523b-983a-43a6-9131-2ec37fb37b0e	Casa Feira Velha
b538ee4c-82e5-484a-901c-0b629e45f64c	Casa China
b58f01b5-1078-4305-96d6-da3e371633eb	Casa Libela - Tien 21
b5d9503d-dc5f-4678-8e6a-d48f8bb83c87	Casa e Tecnologia
b6d6a142-3d9c-4259-8114-4f9aa1e43048	Casa de Louças AnaJúlio
b782d8dd-7d77-4a4f-b90c-05e29ce6f0b5	Casa dos pintos Bouro
