brand	rows	kinds_before_kan448	mixed
Lion of Porches	7	clothing:5, mens_clothing:1, boutique:1	yes
IKEA	7	furniture:6, jewelry:1	yes
Fuxia	7	shoes:6, designer_clothing:1	yes
Diesel	7	clothing:4, auto_parts_and_supply:2, mens_clothing:1	yes
Bijou Brigitte	7	jewelry:6, gift:1	yes
Bang & Olufsen	7	electronics:7	
Vista Alegre Atlantis	6	furniture:5, any:1	yes
Oro Vivo	6	jewelry:5, clothing:1	yes
NOWO	6	electronics:6	
Eurekakids	6	toys:6	
Clarks	6	shoes:6	
Xiaomi	5	any:3, electronics:2	yes
Tommy Hilfiger	5	mens_clothing:3, clothing:2	yes
Tintas CIN	5	hardware:4, any:1	yes
Cash Converters	5	thrift:5	
iStore	4	electronics:3, phone:1	yes
Pollux	4	furniture:4	
New Balance	4	shoes:3, clothing:1	yes
The Phone House	3	electronics:2, phone:1	yes
Sfera	3	womens_clothing:2, clothing:1	yes
Samsung	3	electronics:2, phone:1	yes
Merrell	3	shoes:2, clothing:1	yes
Kiehl's	3	beauty:3	
Flormar	3	beauty:3	
Bata	3	shoes:3	
Yves Rocher	2	beauty:2	
Vilanova	2	luggage:1, clothing:1	yes
Science4you	2	toys:2	
Pedra Dura	2	jewelry:2	
Columbia	2	shoes:2	
Red Oak	1	clothing:1	
Marypaz	1	shoes:1	
Hush Puppies	1	lingerie:1	
