head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
stefanel official	Stefanel Official	3	0	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:3	False
grandoptical portugal	GrandOptical Portugal	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	True
wells continente	Wells, Continente	3	0	store	drugstore	1.0	drugstore	drugstore:3	False
pcdiga	PCDiga	3	0	store	electronics	1.0	electronics	electronics:3	True
opticlasse	Opticlasse	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	False
opticalia centro	Opticalia Centro	3	1	store	fashion_accessories	1.0	fashion_accessories_store	fashion_accessories_store:2|shopping:1	True
globaldata	Globaldata	3	0	store	electronics	1.0	electronics	electronics:2|computer_store:1	False
susanagateira	Susanagateira	3	0	store	sports	0.667	sporting_goods	sporting_goods:2|boutique:1	False
estores e	Estores e	3	0	store	home	1.0	linen	linen:3	False
skechers	Skechers	3	0	store	shoes	1.0	shoe_store	shoe_store:3	True
casual	Casual	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
ourivesaria marques	Ourivesaria Marques	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
decathlon express	Decathlon Express	3	1	store	sports	1.0	sporting_goods	sporting_goods:2|shopping:1	True
new concept	New Concept	3	0	store	clothing	0.667	clothing_store	clothing_store:2|cosmetic_and_beauty_supplies:1	False
cupa stone	Cupa Stone	3	0	store	hardware	1.0	building_supply_store	building_supply_store:3	False
ribeiro s	Ribeiro's Bike	3	0	store	bicycle	0.667	bicycle_shop	bicycle_shop:2|furniture_store:1	False
pequenos e	Pequenos e	3	0	store	toys	0.667	toy_store	toy_store:2|clothing_store:1	False
inoxtubo	Inoxtubo	3	0	store	any	0.667	superstore	superstore:2|building_supply_store:1	False
one watch	One Watch	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
ourivesaria ferreira	Ourivesaria Ferreira	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
carla alves	Carla Alves	3	0	store	clothing	0.667	clothing_store	clothing_store:2|linen:1	False
minisom vila	Minisom Vila	3	0	store	hearing_aid_provider	1.0	hearing_aid_provider	hearing_aid_provider:3	False
irmaos silva	Irmãos Silva	3	0	store	hardware	0.667	building_supply_store	building_supply_store:2|appliance_store:1	False
queijaria flor	Queijaria Flor	3	0	store	cheese	1.0	cheese_shop	cheese_shop:3	False
ourivesaria pedro	Ourivesaria Pedro	3	1	store	jewelry	1.0	jewelry_store	jewelry_store:2|shopping:1	False
sapataria silva	Sapataria Silva	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
mg kids	MG Kids	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|clothing_store:1	False
tudo a	Tudo a	3	0	store	clothing	0.667	clothing_store	clothing_store:2|furniture_store:1	False
closet by	Closet by	3	0	store	clothing	0.667	clothing_store	clothing_store:2|fashion:1	False
petit dreams	Petit Dreams	3	1	store	childrens_clothing	1.0	childrens_clothing_store	childrens_clothing_store:2|shopping:1	False
paula costa	Paula Costa	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
tien21	Tien21	3	0	store	electronics	1.0	appliance_store	appliance_store:2|electronics:1	False
moveis fernando	Móveis Fernando	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
knock knock	Knock Knock	3	0	store	arts_and_crafts	0.667	arts_and_crafts	arts_and_crafts:2|clothing_store:1	False
nico kids	NICO Kids	3	0	store	childrens_clothing	1.0	childrens_clothing_store	childrens_clothing_store:3	False
botton	Botton	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
homa vila	hôma Vila	3	0	store	home	1.0	home_goods_store	home_goods_store:2|home_decor:1	True
prof shoes	PROF Shoes	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
urban project	Urban Project	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
bella boutique	Bella Boutique	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
urban style	Urban Style	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
lojapro	Lojapro	3	0	store	medical_supply	1.0	medical_supply	medical_supply:3	False
manuel jose	Manuel José	3	0	store	hardware	0.667	building_supply_store	building_supply_store:1|lawn_mower_store:1|hardware_store:1	False
new store	New Store	3	0	store	shoes	0.667	shoe_store	shoe_store:2|clothing_store:1	False
kaprichos	Kaprichos	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
ourivesaria central	Ourivesaria Central	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
seletivedeta texteis	Seletivedeta Texteis	3	0	store	lingerie	0.667	lingerie_store	lingerie_store:2|clothing_store:1	False
pes de	Pés de	3	0	store	shoes	0.667	shoe_store	shoe_store:2|sports_wear:1	False
mv oticas	MV Óticas	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	False
ferragens do	Ferragens do'	3	0	store	hardware	1.0	hardware_store	hardware_store:3	False
cosmetica do	Cosmética do	3	0	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:3	False
garrafeira marques	Garrafeira Marques	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:3	False
tabacaria mimos	Tabacaria Mimos	3	0	store	tobacco	1.0	tobacco_shop	tobacco_shop:3	False
papelaria papiro	Papelaria Papiro	3	0	store	arts_and_crafts	0.667	arts_and_crafts	arts_and_crafts:2|office_equipment:1	False
ourivesaria antonio	Ourivesaria António	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
tecidos de	Tecidos de	3	1	store	fabric	1.0	fabric_store	fabric_store:2|shopping:1	False
lapis de	Lapis De	3	0	store	books	0.667	bookstore	bookstore:2|childrens_clothing_store:1	False
aguarela	Aguarela	3	1	store	arts_and_crafts	1.0	arts_and_crafts	arts_and_crafts:2|shopping:1	False
ourivesaria dias	Ourivesaria Dias	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
moveis andrade	Móveis Andrade	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
luxus	Luxus	3	0	store	womens_clothing	0.667	womens_clothing_store	womens_clothing_store:2|furniture_store:1	False
auto escapes	Auto Escapes	3	0	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:3	False
bigmat city	BIGMAT CITY	3	0	store	hardware	1.0	building_supply_store	building_supply_store:2|hardware_store:1	False
teelegend	TeeLegend	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
moveis sousa	Móveis Sousa	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
nutribio	NutriBio	3	0	store	vitamins_and_supplements	0.667	vitamins_and_supplements	vitamins_and_supplements:2|health_food_store:1	False
eugenio campos	Eugénio Campos	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
belmoda	Belmoda	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
perfumaria dubai	Perfumaria Dubai	3	0	store	beauty	0.667	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:2|superstore:1	False
marella	Marella	3	0	store	womens_clothing	0.667	womens_clothing_store	womens_clothing_store:2|clothing_store:1	False
otica adao	Ótica -	3	0	store	photography_store_and_services	0.667	photography_store_and_services	photography_store_and_services:2|eyewear_and_optician:1	False
macovex	Macovex	3	0	store	hardware	1.0	building_supply_store	building_supply_store:3	False
moveis ferreira	Móveis Ferreira	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
porto sc	PORTO SC	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
presidente optica	Presidente Óptica	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	False
tek4life	Tek4life	3	0	store	electronics	1.0	computer_store	computer_store:3	False
moveis monteiro	Móveis Monteiro	3	0	store	furniture	0.667	furniture_store	furniture_store:2|home_improvement_store:1	False
optica pepura	Optica Pepura	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	False
fullbike	FullBike	3	0	store	bicycle	1.0	bicycle_shop	bicycle_shop:3	False
moveis j	Móveis J.C.	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
lacos com	Laços com	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|clothing_store:1	False
moveis branco	Móveis Branco	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
ourivesaria julio	Ourivesaria Júlio	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
petit pomme	Petit Pomme	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|clothing_store:1	False
bambini	Bambini	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|mens_clothing_store:1	False
berco de	Berço de	3	0	store	clothing	0.667	clothing_store	clothing_store:2|childrens_clothing_store:1	False
moveis coelho	Moveis Coelho	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
ind arte	Ind'Arte Loja	3	0	store	furniture	0.667	furniture_store	furniture_store:2|home_improvement_store:1	False
moveis ribeiro	Móveis Ribeiro	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
moveis rodrigues	Móveis Rodrigues	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
bragaware	Bragaware	3	1	store	electronics	1.0	computer_store	computer_store:1|electronics:1|shopping:1	False
bigmat martins	BIGMAT MARTINS	3	0	store	hardware	1.0	building_supply_store	building_supply_store:3	False
