head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
fred perry	Fred Perry	4	0	store	clothing	0.75	clothing_store	clothing_store:3|mens_clothing_store:1	False
benfica official	Benfica Official	4	1	store	sports	0.667	sporting_goods	sporting_goods:1|sports_wear:1|shopping:1|souvenir_shop:1	True
adidas originals	Adidas Originals	4	0	store	sports	1.0	sports_wear	sports_wear:2|sporting_goods:2	True
livraria da	Livraria da	4	0	store	books	1.0	bookstore	bookstore:4	False
cosentino	Cosentino	4	0	store	hardware	1.0	building_supply_store	building_supply_store:4	False
the phone	The Phone	4	1	store	electronics	0.667	electronics	electronics:2|mobile_phone_store:1|shopping:1	False
tintas e	Tintas e	4	1	store	hardware	1.0	hardware_store	hardware_store:2|home_improvement_store:1|shopping:1	False
moveis usados	Móveis Usados	4	0	store	furniture	1.0	furniture_store	furniture_store:4	False
hackett	Hackett	4	0	store	mens_clothing	1.0	mens_clothing_store	mens_clothing_store:4	False
doctor mobile	Doctor mobile	4	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:4	False
a4 tabacaria	A4 Tabacaria	4	0	store	tobacco	0.75	tobacco_shop	tobacco_shop:3|flowers_and_gifts_shop:1	False
nike factory	Nike Factory	4	0	store	sports	1.0	sports_wear	sports_wear:2|sporting_goods:2	True
boss outlet	BOSS Outlet	4	0	store	clothing	0.75	clothing_store	clothing_store:3|childrens_clothing_store:1	False
puma outlet	PUMA Outlet	4	0	store	sports	0.75	sporting_goods	sporting_goods:3|clothing_store:1	False
kiwoko c	KIWOKO C.C.	4	0	store	pet	1.0	pet_store	pet_store:4	True
oculista das	Oculista Das	4	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:4	False
prink	Prink	4	1	store	office_equipment	0.667	office_equipment	office_equipment:2|furniture_store:1|shopping:1	False
centroxogo brinquedos	Centroxogo Brinquedos	4	0	store	toys	0.75	toy_store	toy_store:3|flowers_and_gifts_shop:1	True
esse parfum	Esse Parfum	4	1	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:3|shopping:1	False
opticalia premium	Opticalia Premium	4	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3|shopping:1	True
moveis machado	Móveis Machado	4	0	store	furniture	1.0	furniture_store	furniture_store:4	False
beauty stores	Beauty Stores,	4	0	store	beauty	1.0	perfume_store	perfume_store:3|hair_supply_stores:1	False
zolf store	ZOLF STORE	4	0	store	clothing	1.0	clothing_store	clothing_store:4	False
